ticker,date,close,open,low,high,volume
SPY,13-Dec-07,149.06,148.32,147.3,149.39,"237,607,051"
SPY,12-Dec-07,149.37,151.06,147.2,151.77,"322,435,576"
SPY,11-Dec-07,147.91,152.14,147.83,152.89,"250,346,381"
SPY,10-Dec-07,152.08,151.28,150.86,152.25,"123,914,390"
SPY,7-Dec-07,150.91,151.42,150.55,151.5,"148,980,042"
SPY,6-Dec-07,150.94,148.63,148.57,151.21,"154,542,538"
SPY,5-Dec-07,148.81,147.93,147.83,149.2,"171,129,967"
SPY,4-Dec-07,146.36,146.66,146.31,147.54,"136,533,869"
SPY,3-Dec-07,147.68,148.19,147.29,148.45,"146,430,461"
SPY,30-Nov-07,148.66,149.04,147.33,149.87,"222,907,919"
SPY,29-Nov-07,147.18,146.62,146.1,147.72,"199,411,087"
SPY,28-Nov-07,147.13,144.19,144.14,147.47,"259,096,930"
SPY,27-Nov-07,142.57,141.74,140.95,143.23,"293,900,195"
SPY,26-Nov-07,140.95,144.43,140.66,144.88,"214,232,568"
SPY,23-Nov-07,144.13,143.07,142.7,144.34,"77,688,317"
SPY,21-Nov-07,141.68,143.08,141.67,143.91,"259,196,735"
SPY,20-Nov-07,144.64,144.02,142.11,145.53,"414,767,456"
SPY,19-Nov-07,143.76,145.28,143.19,145.36,"267,745,911"
SPY,16-Nov-07,145.79,146.31,144.57,146.47,"308,771,041"
SPY,15-Nov-07,145.54,146.57,144.52,147.49,"263,111,078"
SPY,14-Nov-07,147.67,149.22,146.78,149.4,"230,558,773"
SPY,13-Nov-07,148.08,145.37,145.22,148.31,"191,117,400"
SPY,12-Nov-07,143.7,145.21,143.7,146.61,"243,087,901"
SPY,9-Nov-07,145.14,145.69,144.89,147.54,"277,745,044"
SPY,8-Nov-07,147.16,147.99,145.07,149.3,"374,510,087"
SPY,7-Nov-07,147.91,150.44,147.55,152.11,"306,639,644"
SPY,6-Nov-07,152.07,150.86,149.9,152.11,"177,800,407"
SPY,5-Nov-07,150.05,149.64,148,151.16,"226,845,931"
SPY,2-Nov-07,151.2,151.53,149.21,152,"331,228,171"
SPY,1-Nov-07,151.03,153.29,150.59,153.41,"333,040,702"
SPY,31-Oct-07,154.65,153.98,152.84,155.27,"220,954,386"
SPY,30-Oct-07,153.06,153.45,152.87,153.75,"132,981,516"
SPY,29-Oct-07,154.13,153.93,153.55,154.44,"106,840,923"
SPY,26-Oct-07,153.62,153.06,151.9,153.62,"176,491,208"
SPY,25-Oct-07,151.84,151.65,149.88,152.29,"237,374,487"
SPY,24-Oct-07,151.48,151.21,148,151.74,"326,694,120"
SPY,23-Oct-07,151.76,151.46,150.25,151.95,"180,085,062"
SPY,22-Oct-07,150.54,148.86,148.66,150.76,"261,989,782"
SPY,19-Oct-07,149.67,153.09,149.66,156.48,"297,169,866"
SPY,18-Oct-07,153.69,153.45,153.08,154.19,"148,457,453"
SPY,17-Oct-07,154.25,154.98,152.47,155.09,"216,687,238"
SPY,16-Oct-07,153.78,154.41,153.47,156.48,"166,525,626"
SPY,15-Oct-07,155.01,156.27,153.94,156.36,"161,151,820"
SPY,12-Oct-07,156.33,155.46,155.27,156.35,"124,546,644"
SPY,11-Oct-07,155.47,156.93,154.54,157.52,"233,529,065"
SPY,10-Oct-07,156.22,156.04,155.41,156.44,"101,711,081"
SPY,9-Oct-07,156.48,155.6,155.03,156.5,"94,054,252"
SPY,8-Oct-07,155.02,155.39,154.77,155.49,"71,280,351"
SPY,5-Oct-07,155.85,155.03,154.63,156.1,"134,584,501"
SPY,4-Oct-07,154.02,154.11,153.59,154.26,"76,864,345"
SPY,3-Oct-07,153.78,153.81,153.01,154.41,"119,055,844"
SPY,2-Oct-07,154.09,154.61,153.81,154.65,"112,978,769"
SPY,1-Oct-07,154.3,152.6,152.5,154.75,"148,162,230"
SPY,28-Sep-07,152.58,152.85,151.98,153.19,"133,372,085"
SPY,27-Sep-07,153.09,152.91,152.19,153.1,"102,713,274"
SPY,26-Sep-07,152.19,152.25,151.39,152.77,"135,588,854"
SPY,25-Sep-07,151.39,150.81,150.47,151.66,"142,296,566"
SPY,24-Sep-07,151.69,152.42,151.36,152.82,"139,450,117"
SPY,21-Sep-07,151.97,152.71,151.74,153.12,"141,463,409"
SPY,20-Sep-07,152.28,153.34,152.11,153.43,"175,186,778"
SPY,19-Sep-07,153.36,153.41,152.71,154.39,"193,779,848"
